test,create_table_time,create_table_memory,insertion_time,insert_memory_usage
t1,0.27918362617492676,503808,0.14232158660888672,0
t1,0.27918362617492676,503808,0.03656363487243652,0
t1,0.27918362617492676,503808,0.03838682174682617,0
t1,0.27918362617492676,503808,0.04515337944030762,0
t1,0.27918362617492676,503808,0.04380154609680176,0
t1,0.27918362617492676,503808,0.03851461410522461,0
t1,0.27918362617492676,503808,0.03529644012451172,0
t1,0.27918362617492676,503808,0.03214669227600098,0
t1,0.27918362617492676,503808,0.01541900634765625,0
t1,0.27918362617492676,503808,0.0156402587890625,0
t1,0.27918362617492676,503808,0.03099966049194336,0
t1,0.27918362617492676,503808,0.030313968658447266,0
t1,0.27918362617492676,503808,0.0329442024230957,0
t1,0.27918362617492676,503808,0.01541280746459961,0
t1,0.27918362617492676,503808,0.030718564987182617,0
t1,0.27918362617492676,503808,0.03216290473937988,0
t1,0.27918362617492676,503808,0.03098273277282715,0
t1,0.27918362617492676,503808,0.033234596252441406,0
t1,0.27918362617492676,503808,0.0320429801940918,0
t1,0.27918362617492676,503808,0.018485546112060547,0
t1,0.27918362617492676,503808,0.0315546989440918,0
t1,0.27918362617492676,503808,0.03606772422790527,0
t1,0.27918362617492676,503808,0.031683921813964844,0
t1,0.27918362617492676,503808,0.03198504447937012,0
t1,0.27918362617492676,503808,0.031374216079711914,0
t1,0.27918362617492676,503808,0.017523527145385742,0
t1,0.27918362617492676,503808,0.03121781349182129,0
t1,0.27918362617492676,503808,0.030580759048461914,0
t1,0.27918362617492676,503808,0.030587196350097656,0
t1,0.27918362617492676,503808,0.0299069881439209,0
t1,0.27918362617492676,503808,0.031377553939819336,0
t1,0.27918362617492676,503808,0.031978607177734375,0
t1,0.27918362617492676,503808,0.030964374542236328,0
t1,0.27918362617492676,503808,0.1361527442932129,0
t1,0.27918362617492676,503808,0.01730203628540039,0
t1,0.27918362617492676,503808,0.01694202423095703,0
t1,0.27918362617492676,503808,0.015666723251342773,0
t1,0.27918362617492676,503808,0.13117384910583496,0
t1,0.27918362617492676,503808,0.030643701553344727,0
t1,0.27918362617492676,503808,0.03229713439941406,0
t1,0.27918362617492676,503808,0.015391826629638672,0
t1,0.27918362617492676,503808,0.017149686813354492,0
t1,0.27918362617492676,503808,0.035276174545288086,0
t1,0.27918362617492676,503808,0.03258967399597168,0
t1,0.27918362617492676,503808,0.033756256103515625,0
t1,0.27918362617492676,503808,0.03289365768432617,0
t1,0.27918362617492676,503808,0.03233146667480469,0
t1,0.27918362617492676,503808,0.030359983444213867,0
t1,0.27918362617492676,503808,0.13048911094665527,0
t1,0.27918362617492676,503808,0.01538991928100586,0
t1,0.27918362617492676,503808,0.015389204025268555,0
t1,0.27918362617492676,503808,0.015362024307250977,0
t1,0.27918362617492676,503808,0.015404462814331055,0
t1,0.27918362617492676,503808,0.015382051467895508,0
t1,0.27918362617492676,503808,0.13926982879638672,0
t1,0.27918362617492676,503808,0.031223535537719727,0
t1,0.27918362617492676,503808,0.018779277801513672,0
t1,0.27918362617492676,503808,0.054543256759643555,0
t1,0.27918362617492676,503808,0.14011907577514648,0
t1,0.27918362617492676,503808,0.03274655342102051,0
t1,0.27918362617492676,503808,0.03102707862854004,0
t1,0.27918362617492676,503808,0.01709127426147461,0
t1,0.27918362617492676,503808,0.031143665313720703,0
t1,0.27918362617492676,503808,0.05636906623840332,0
t1,0.27918362617492676,503808,0.03896903991699219,0
t1,0.27918362617492676,503808,0.03125643730163574,0
t1,0.27918362617492676,503808,0.03471851348876953,0
t1,0.27918362617492676,503808,0.031045198440551758,0
t1,0.27918362617492676,503808,0.015407085418701172,0
t1,0.27918362617492676,503808,0.033275604248046875,0
t1,0.27918362617492676,503808,0.03079390525817871,0
t1,0.27918362617492676,503808,0.13548684120178223,0
t1,0.27918362617492676,503808,0.029817819595336914,0
t1,0.27918362617492676,503808,0.03133559226989746,0
t1,0.27918362617492676,503808,0.031030893325805664,0
t1,0.27918362617492676,503808,0.03366494178771973,0
t1,0.27918362617492676,503808,0.01537942886352539,0
t1,0.27918362617492676,503808,0.03058314323425293,0
t1,0.27918362617492676,503808,0.015411853790283203,0
t1,0.27918362617492676,503808,0.1354837417602539,0
t1,0.27918362617492676,503808,0.1345827579498291,0
t1,0.27918362617492676,503808,0.033855438232421875,0
t1,0.27918362617492676,503808,0.03143167495727539,0
t1,0.27918362617492676,503808,0.015404462814331055,0
t1,0.27918362617492676,503808,0.030981063842773438,0
t1,0.27918362617492676,503808,0.015377283096313477,0
t1,0.27918362617492676,503808,0.031125783920288086,0
t1,0.27918362617492676,503808,0.0153961181640625,0
t1,0.27918362617492676,503808,0.03173470497131348,0
t1,0.27918362617492676,503808,0.035119056701660156,0
t1,0.27918362617492676,503808,0.032938241958618164,0
t1,0.27918362617492676,503808,0.0342259407043457,0
t1,0.27918362617492676,503808,0.032392024993896484,0
t1,0.27918362617492676,503808,0.031981706619262695,0
t1,0.27918362617492676,503808,0.015661954879760742,0
t1,0.27918362617492676,503808,0.015372753143310547,0
t1,0.27918362617492676,503808,0.032999515533447266,0
t1,0.27918362617492676,503808,0.034584999084472656,0
t1,0.27918362617492676,503808,0.03618431091308594,0
t1,0.27918362617492676,503808,0.021297216415405273,0
t1,0.27918362617492676,503808,0.03301382064819336,0
t1,0.27918362617492676,503808,0.03300023078918457,0
t1,0.27918362617492676,503808,0.03258085250854492,0
t1,0.27918362617492676,503808,0.03430294990539551,0
t1,0.27918362617492676,503808,0.03165483474731445,0
t1,0.27918362617492676,503808,0.14441204071044922,0
t1,0.27918362617492676,503808,0.051407575607299805,0
t1,0.27918362617492676,503808,0.04285287857055664,0
t1,0.27918362617492676,503808,0.028617143630981445,0
t1,0.27918362617492676,503808,0.03415632247924805,0
t1,0.27918362617492676,503808,0.03604316711425781,0
t1,0.27918362617492676,503808,0.03193521499633789,0
t1,0.27918362617492676,503808,0.03027796745300293,0
t1,0.27918362617492676,503808,0.031092166900634766,0
t1,0.27918362617492676,503808,0.015414237976074219,0
t1,0.27918362617492676,503808,0.015396595001220703,0
t1,0.27918362617492676,503808,0.015659570693969727,0
t1,0.27918362617492676,503808,0.01677846908569336,0
t1,0.27918362617492676,503808,0.015523195266723633,0
t1,0.27918362617492676,503808,0.03171396255493164,0
t1,0.27918362617492676,503808,0.02952861785888672,0
t1,0.27918362617492676,503808,0.028654098510742188,0
t1,0.27918362617492676,503808,0.017721891403198242,0
t1,0.27918362617492676,503808,0.03067922592163086,0
t1,0.27918362617492676,503808,0.03079986572265625,0
